,Married/Single,House_Ownership,Car_Ownership,CITY,Age,Experience,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_feature
84812,1,2,1,3,76,0,0,10,1
30919,1,2,1,211,26,20,14,14,1
19663,1,2,0,313,63,7,7,10,1
232187,1,1,0,227,31,5,5,13,1
52854,1,2,0,186,21,0,0,12,1
228644,1,2,0,4,63,11,3,12,1
131729,1,2,0,203,33,17,12,11,1
221946,0,2,0,299,70,0,0,12,1
208068,1,2,1,201,57,17,7,14,1
78635,1,2,0,299,73,15,3,12,1
56684,1,1,0,201,27,13,13,10,1
194786,1,2,0,226,47,7,7,11,1
150211,1,1,0,61,64,12,10,11,1
1217,1,2,0,174,33,15,13,11,1
176267,1,2,1,195,50,6,6,10,1
56375,1,2,0,83,21,0,0,12,1
225605,0,2,0,5,44,13,10,12,1
221481,1,2,0,14,52,0,0,11,1
75491,1,2,1,70,48,19,3,14,1
150408,1,2,0,184,36,4,4,12,1
182755,1,2,0,1,54,16,9,11,1
78161,1,2,0,153,65,12,7,14,1
222512,1,2,1,136,48,18,8,11,1
176898,1,2,0,77,74,1,1,12,1
43700,1,2,0,218,66,3,3,13,1
48663,1,2,0,137,77,3,3,10,1
87557,1,2,0,292,70,6,6,11,1
199454,1,1,1,277,42,18,3,14,1
141472,1,2,0,67,76,13,13,14,1
190257,1,2,0,245,24,11,8,12,1
19746,1,2,0,117,45,5,5,14,1
70601,1,2,0,77,42,2,2,10,1
238108,1,2,0,125,56,20,5,12,1
90184,1,2,1,32,51,19,6,11,1
50778,1,2,1,201,57,8,8,12,1
140562,1,2,0,14,66,20,11,11,1
53585,1,2,0,138,56,16,3,14,1
250103,1,2,1,5,32,18,11,14,1
62254,1,2,0,250,72,0,0,12,1
141833,1,2,0,289,23,15,4,10,1
6401,1,0,1,53,61,11,7,14,1
209652,1,2,1,121,57,12,10,12,1
50047,1,2,0,16,57,13,11,11,1
17966,1,2,0,205,55,20,8,13,1
191325,1,2,0,23,24,3,3,10,1
226237,1,2,1,131,23,2,2,13,1
181979,1,2,0,126,38,9,7,14,1
121830,1,2,0,230,31,4,4,12,1
179433,1,2,1,44,61,13,11,10,1
243051,1,0,0,175,29,2,2,11,1
39407,0,2,0,37,53,8,8,12,1
50100,1,2,0,242,28,15,5,11,1
85938,1,2,0,111,66,18,13,10,1
77013,1,2,0,206,37,0,0,13,1
137310,1,2,0,96,45,5,3,12,1
228154,1,2,0,19,59,14,9,10,1
219315,1,2,1,210,55,19,12,11,1
246452,0,2,0,74,75,17,13,11,1
82309,1,2,0,270,26,19,12,13,1
43785,1,2,0,120,73,8,8,11,1
165224,1,2,0,271,35,2,2,14,1
11315,1,2,0,218,66,3,3,13,1
178085,1,2,0,68,62,5,5,10,1
184487,1,2,0,137,21,20,4,13,1
123472,1,2,0,97,23,13,13,12,1
75764,1,2,0,197,42,3,3,11,1
222568,1,2,0,152,29,18,10,14,1
54575,1,2,1,220,22,20,10,12,1
3373,1,2,0,92,23,17,9,11,1
225174,1,2,0,54,59,9,9,10,1
239477,1,2,1,266,31,9,9,13,1
120924,1,2,0,50,22,7,6,13,1
15866,1,2,0,118,40,5,5,10,1
72293,1,2,0,203,33,17,12,11,1
41094,1,2,0,255,25,18,6,11,1
149086,1,2,0,70,64,9,8,10,1
161483,1,2,0,165,75,3,3,12,1
218258,1,2,0,118,58,8,8,12,1
194736,1,2,0,119,53,17,5,10,1
179710,1,2,0,84,57,2,2,11,1
173342,1,2,1,108,31,7,7,11,1
142101,1,2,1,48,41,6,3,13,1
135366,1,2,0,11,78,17,9,13,1
196105,1,2,0,223,39,11,8,13,1
68294,1,2,0,3,56,16,11,14,1
235131,1,2,0,1,49,14,3,13,1
223234,1,2,1,287,51,0,0,11,1
148470,1,2,0,156,47,9,4,11,1
78187,0,2,0,57,29,14,4,10,1
221308,1,2,1,6,58,17,3,13,1
90164,1,2,1,316,37,6,5,11,1
129726,1,2,1,194,33,13,10,11,1
81558,1,2,0,110,35,16,14,12,1
36656,1,2,0,48,50,15,12,10,1
75417,1,2,0,160,58,7,4,10,1
37946,1,2,0,240,69,8,8,10,1
182787,1,2,0,31,56,2,2,10,1
77795,1,1,0,134,75,20,7,13,1
182858,0,2,0,47,24,10,3,13,1
212951,1,2,1,184,27,5,4,12,1
88973,1,2,0,163,72,12,9,10,1
119556,0,2,1,185,44,7,7,12,1
85520,1,2,0,41,67,19,7,14,1
11835,0,2,0,234,51,20,7,10,1
184964,1,2,1,69,23,20,11,12,1
245741,1,2,0,255,52,4,4,11,1
144869,0,2,0,86,62,15,4,10,1
75332,0,2,0,189,70,7,7,12,1
195006,1,2,1,220,22,20,10,12,1
222487,1,2,1,218,63,17,8,14,1
95363,1,2,0,130,67,3,3,12,1
206959,1,2,0,223,39,11,8,13,1
47610,1,2,0,199,57,7,7,10,1
243826,1,2,1,134,48,19,8,14,1
51983,1,2,1,81,49,6,6,11,1
209201,1,2,0,168,67,19,12,12,1
215773,1,2,1,249,55,12,5,12,1
135070,1,2,0,217,61,0,0,12,1
207671,1,2,1,15,70,6,6,14,1
189138,0,2,0,227,25,7,7,13,1
145339,1,2,1,35,29,5,5,14,1
231493,1,2,0,64,37,8,8,13,1
237998,1,2,0,15,49,20,10,14,1
179238,1,2,0,145,79,14,4,12,1
25227,0,2,0,166,28,8,8,13,1
219458,1,2,0,94,69,18,3,11,1
183310,1,2,1,249,55,12,5,12,1
8781,1,2,0,145,53,5,5,13,1
51322,1,2,1,153,50,2,2,14,1
224120,1,1,0,287,29,3,3,14,1
72807,1,2,1,129,23,7,6,14,1
46527,1,2,0,141,61,19,8,14,1
78713,1,2,0,50,49,1,1,11,1
41210,1,2,0,212,33,17,7,13,1
53680,1,2,0,302,48,6,6,10,1
232419,1,0,0,285,39,5,5,11,1
183056,1,2,0,205,50,15,6,13,1
50356,1,2,1,303,63,12,10,13,1
183073,1,2,1,297,59,3,3,14,1
182214,1,2,0,3,76,3,3,12,1
38868,1,2,0,292,70,6,6,11,1
219305,1,2,1,172,42,12,9,10,1
240105,1,2,1,271,44,5,5,13,1
75858,1,2,0,65,21,13,11,12,1
211770,1,2,0,61,79,11,11,13,1
38193,1,2,0,283,58,15,8,11,1
223772,1,2,0,262,61,15,13,14,1
53605,1,2,1,123,23,1,1,14,1
25159,1,1,0,219,60,10,4,11,1
11305,1,2,0,110,35,16,14,12,1
137919,1,2,1,185,51,14,7,12,1
249336,0,2,0,284,53,4,4,11,1
89768,1,2,0,130,57,11,11,11,1
16350,1,2,0,281,22,7,7,12,1
237874,0,2,0,125,65,17,5,13,1
227786,0,2,0,304,73,6,6,10,1
137284,1,2,0,57,79,14,13,10,1
250807,1,2,0,100,63,11,3,10,1
136480,1,2,0,89,28,9,3,14,1
44398,0,2,1,169,75,17,3,12,1
6875,1,2,0,89,28,9,3,14,1
207796,1,2,1,261,73,9,9,13,1
67066,1,2,0,177,32,13,6,11,1
178693,1,2,1,104,69,16,12,11,1
196353,1,2,0,255,65,12,10,12,1
1050,1,2,0,146,51,2,2,11,1
35925,1,2,0,57,45,9,9,10,1
43074,1,2,0,263,47,11,11,14,1
241424,1,2,0,108,36,13,6,14,1
10592,1,2,0,112,42,0,0,12,1
149448,1,2,0,8,28,11,4,13,1
245183,1,2,0,199,63,11,5,11,1
35349,1,2,1,119,21,2,2,11,1
209444,1,2,0,16,27,5,5,12,1
187597,1,2,1,205,29,11,7,10,1
4934,1,2,0,57,55,18,4,10,1
87567,1,2,0,76,41,1,1,11,1
90873,1,2,0,84,58,18,8,10,1
207349,1,2,1,61,40,5,5,12,1
208562,1,2,1,245,58,12,12,13,1
226089,1,2,0,4,75,3,3,10,1
233707,1,2,0,307,46,1,1,11,1
122831,1,2,0,162,33,19,10,13,1
143319,1,2,0,181,24,2,2,14,1
60062,1,2,0,100,44,15,11,12,1
47727,1,2,1,154,27,1,1,14,1
146265,1,2,0,186,50,11,11,11,1
249734,1,2,1,200,26,2,2,10,1
144761,1,2,0,66,60,2,2,13,1
249449,0,2,1,127,60,10,9,11,1
231776,1,2,0,12,74,20,10,14,1
235565,1,2,0,105,69,15,13,13,1
2484,1,2,1,15,70,6,6,14,1
194919,1,2,1,94,77,16,7,10,1
180717,1,2,0,295,33,18,5,13,1
199314,1,2,0,215,54,16,14,11,1
211519,1,2,0,62,33,20,10,12,1
46780,1,2,0,72,78,12,12,10,1
4781,1,2,0,81,33,2,2,14,1
209812,1,2,0,31,56,2,2,10,1
141617,1,2,0,276,59,18,6,10,1
145271,0,2,0,210,31,5,5,12,1
60038,1,2,0,285,76,9,4,10,1
145423,1,2,1,123,23,1,1,14,1
77691,1,2,0,111,59,19,4,11,1
126335,1,2,0,255,47,2,2,10,1
214804,1,2,0,74,44,14,10,11,1
246226,1,2,1,298,42,18,14,11,1
217344,1,2,0,207,40,8,8,11,1
5206,1,2,0,160,58,7,4,10,1
181935,1,2,0,288,75,5,5,10,1
233557,1,2,0,176,57,0,0,13,1
32460,1,2,0,234,46,11,5,11,1
92332,1,1,1,178,73,3,3,10,1
229580,1,2,1,316,64,19,5,10,1
12043,1,2,0,149,51,12,12,13,1
236058,1,2,0,234,71,7,7,11,1
237914,1,2,0,181,60,10,5,13,1
229656,1,2,0,308,62,13,7,13,1
247750,1,2,0,48,34,9,9,10,1
246050,1,2,0,145,66,8,8,14,1
247889,1,2,1,124,54,5,4,10,1
12467,0,2,0,300,43,2,2,13,1
149200,1,2,0,128,60,20,12,11,1
238758,1,2,1,301,36,17,9,13,1
23903,1,2,0,198,21,7,4,13,1
83743,0,2,0,176,77,17,12,12,1
162946,1,2,0,140,63,4,4,12,1
7607,1,2,1,117,39,7,7,10,1
224787,1,2,1,266,49,11,7,12,1
85571,1,2,0,180,59,10,10,14,1
38186,1,2,0,73,71,3,3,13,1
90168,1,2,1,53,28,2,2,13,1
26095,1,2,0,153,24,15,11,12,1
62633,1,2,0,57,51,9,9,12,1
206199,0,2,0,141,55,6,6,10,1
60955,1,2,0,5,54,17,10,11,1
243003,1,2,1,191,62,11,11,10,1
52446,1,2,1,81,77,13,11,13,1
110938,1,2,0,79,77,9,3,14,1
143083,1,2,1,172,38,13,9,12,1
36745,1,2,1,15,23,12,12,13,1
216448,1,2,0,142,44,16,9,11,1
223616,1,0,1,256,56,17,8,14,1
144977,1,2,0,101,48,11,11,12,1
240068,1,2,0,237,35,19,10,14,1
181863,1,2,1,212,27,17,5,10,1
1303,1,2,0,245,24,11,8,12,1
152804,1,2,0,33,22,1,1,10,1
83278,1,2,0,113,53,0,0,13,1
237741,1,2,0,73,69,2,2,14,1
4615,1,2,0,234,50,19,11,11,1
78907,1,2,0,133,30,17,11,10,1
7190,1,2,1,295,76,6,6,10,1
176818,1,2,1,259,66,6,6,14,1
38805,1,2,0,145,79,14,4,12,1
52994,1,2,0,2,27,10,8,11,1
230096,1,2,1,149,46,3,3,10,1
218025,1,2,0,271,54,4,4,12,1
173174,1,2,0,100,69,11,11,10,1
197485,1,2,0,263,59,19,11,10,1
66333,1,2,1,292,41,0,0,14,1
39474,1,2,0,221,37,14,3,12,1
177841,1,2,0,118,40,5,5,10,1
41246,0,2,0,45,54,13,10,14,1
127234,1,2,0,230,31,4,4,12,1
181545,1,2,0,310,29,4,4,12,1
147922,1,2,0,212,33,19,8,12,1
196830,1,2,0,153,29,14,13,14,1
226610,1,2,1,277,44,5,5,11,1
147768,1,2,0,285,54,6,6,14,1
212996,1,2,1,295,69,16,7,13,1
173285,1,2,0,113,25,8,3,13,1
248367,1,2,0,82,33,10,6,12,1
74791,1,2,0,199,57,14,5,14,1
215754,1,2,0,41,52,18,3,10,1
146001,1,2,0,82,29,0,0,11,1
240075,1,2,1,300,47,4,4,11,1
156389,1,2,0,183,27,1,1,10,1
226845,1,2,1,236,69,9,9,14,1
5432,1,2,1,265,58,18,5,13,1
244048,1,2,0,242,73,18,4,12,1
111400,1,2,0,218,21,12,7,14,1
203793,1,2,1,151,33,9,9,11,1
157329,1,2,0,245,65,3,3,12,1
125259,1,2,0,140,63,4,4,12,1
120867,1,2,1,179,47,19,13,14,1
182496,0,2,0,308,31,12,6,13,1
216840,1,2,0,27,22,4,4,12,1
91288,1,2,0,96,34,20,3,13,1
181162,1,2,0,312,41,15,8,13,1
44423,1,2,0,262,33,16,8,13,1
5783,1,2,1,188,61,9,9,10,1
19351,0,2,0,193,21,0,0,12,1
213302,1,2,0,237,51,16,13,13,1
88437,1,2,0,117,60,12,6,12,1
65676,1,2,0,277,78,14,6,12,1
61109,1,2,0,223,39,11,8,13,1
6704,1,2,0,265,59,17,14,11,1
145551,1,2,0,281,42,10,8,10,1
239020,1,2,0,254,27,9,7,12,1
250085,1,0,0,17,41,13,4,13,1
150757,1,1,0,63,72,2,2,14,1
150674,1,2,0,111,66,18,13,10,1
221615,1,2,0,178,51,6,6,11,1
225867,1,0,1,168,32,20,14,12,1
143660,1,2,0,19,45,15,6,12,1
45627,1,2,0,197,29,6,6,14,1
144048,1,2,0,256,38,15,3,10,1
198821,1,1,0,61,64,12,10,11,1
109164,1,2,0,61,79,11,11,13,1
85610,1,2,0,197,50,7,6,11,1
77097,1,2,0,0,27,17,8,14,1
121143,1,2,1,184,27,5,4,12,1
46787,1,2,0,57,48,14,11,12,1
215685,1,2,1,90,26,15,10,14,1
13009,1,2,0,113,53,0,0,13,1
79434,1,2,0,125,42,1,1,13,1
88199,1,1,0,226,60,18,11,11,1
225217,1,2,0,270,29,17,9,12,1
148599,1,2,0,88,53,8,8,14,1
229702,1,2,0,40,38,6,6,12,1
23095,0,2,0,115,36,17,13,13,1
181855,1,2,0,4,50,9,6,12,1
237579,0,2,0,41,61,4,4,13,1
210400,1,2,0,66,57,6,6,11,1
23100,1,2,0,84,57,2,2,11,1
79311,1,2,0,4,50,9,6,12,1
48717,1,2,1,192,41,11,7,14,1
72602,0,2,0,14,28,8,8,13,1
174566,1,2,1,295,76,6,6,10,1
46048,1,2,1,157,33,8,8,12,1
193779,1,2,0,121,22,15,3,11,1
51473,1,0,1,204,35,3,3,13,1
209750,1,2,0,75,52,1,1,10,1
93329,1,2,1,236,70,1,1,10,1
122198,1,2,0,141,61,19,8,14,1
89310,1,2,0,207,64,15,11,12,1
132846,1,2,1,87,26,14,5,10,1
197465,1,2,0,50,49,1,1,11,1
149361,1,2,0,117,45,5,5,14,1
228570,1,2,0,251,61,16,7,11,1
177313,1,2,0,75,52,1,1,10,1
220217,0,2,1,24,45,4,4,12,1
41977,1,2,0,16,27,5,5,12,1
141071,1,2,0,100,44,15,11,12,1
182493,1,2,0,48,50,15,12,10,1
17609,1,2,0,198,63,0,0,13,1
46033,1,2,0,281,50,4,4,12,1
36109,0,2,1,293,53,19,13,12,1
121831,0,2,1,272,74,8,3,13,1
139538,1,2,0,75,52,1,1,10,1
180947,1,2,0,74,70,14,10,11,1
112150,1,0,1,265,68,15,13,14,1
36037,1,2,1,212,27,17,5,10,1
80404,1,2,0,31,64,12,11,12,1
249504,1,2,1,32,36,4,4,12,1
151004,1,2,0,183,27,1,1,10,1
6754,1,2,0,202,21,16,13,14,1
250378,1,2,0,137,53,8,6,10,1
67666,1,2,1,187,74,15,3,12,1
180505,0,2,0,88,50,18,12,10,1
147070,1,2,0,270,26,19,12,13,1
77642,1,2,0,176,63,17,13,14,1
179611,1,2,0,198,63,0,0,13,1
74629,1,2,0,69,62,19,13,13,1
81045,1,2,0,217,59,16,9,11,1
88658,1,2,1,82,48,5,5,11,1
165809,1,2,0,312,25,0,0,11,1
187293,1,2,1,212,27,17,5,10,1
40821,1,2,0,97,27,1,1,12,1
9848,1,2,1,64,40,9,7,11,1
163726,1,2,0,109,66,0,0,14,1
129263,1,2,1,123,23,1,1,14,1
37749,1,2,0,38,45,9,9,10,1
63222,1,2,0,125,42,1,1,13,1
211301,1,2,1,273,43,16,12,12,1
228917,1,2,1,246,66,14,11,12,1
212033,1,2,1,155,62,20,7,10,1
33495,1,2,0,246,60,10,10,11,1
239004,1,2,0,119,51,14,7,12,1
109062,1,2,1,166,59,1,1,12,1
194813,1,2,0,24,54,15,8,11,1
171122,1,2,0,205,27,14,5,13,1
245905,1,2,1,19,62,17,13,13,1
14649,1,2,0,104,26,13,3,10,1
82618,1,2,0,311,29,19,14,10,1
206268,1,2,1,72,47,0,0,11,1
238745,1,2,1,186,55,8,4,13,1
235691,1,2,0,27,24,17,14,14,1
109599,1,2,0,45,36,17,14,13,1
18185,1,2,0,27,66,19,8,12,1
231476,1,2,0,257,52,4,3,10,1
2051,1,2,0,176,63,17,13,14,1
72999,0,2,0,85,60,12,12,10,1
52275,1,2,1,64,58,5,5,13,1
67848,1,2,0,151,25,11,6,10,1
44250,1,2,0,50,32,20,6,11,1
57851,1,2,1,272,25,6,6,12,1
229754,1,0,0,179,34,8,4,14,1
45445,1,2,0,96,45,5,3,12,1
83229,1,2,1,201,57,8,8,12,1
149432,1,2,0,75,46,11,4,14,1
227256,1,2,1,88,57,4,4,14,1
182060,1,2,0,266,53,15,5,13,1
148384,1,2,0,145,47,4,4,12,1
139696,0,2,0,269,56,13,6,13,1
35195,1,2,0,256,58,12,9,14,1
228091,1,2,0,101,36,0,0,12,1
215339,1,2,1,1,44,10,6,10,1
169774,1,2,1,53,25,7,7,10,1
44530,1,2,0,29,71,0,0,14,1
108268,1,2,1,13,61,0,0,11,1
220772,0,0,1,128,66,12,5,13,1
183185,1,2,1,163,72,6,6,14,1
205929,1,2,0,100,44,15,11,12,1
19591,0,2,0,76,78,9,9,10,1
39965,1,2,0,93,24,1,1,11,1
140867,1,2,0,237,53,2,2,10,1
236562,1,2,1,281,67,4,4,12,1
210128,1,2,0,138,78,13,11,11,1
13324,0,2,0,57,29,14,4,10,1
89228,1,1,0,313,51,16,8,13,1
239689,1,2,0,97,22,18,3,13,1
243822,1,2,1,156,30,1,1,14,1
41758,1,2,0,162,33,19,10,13,1
236599,1,2,0,248,32,15,12,12,1
246851,1,2,0,174,28,12,3,12,1
217786,1,2,0,233,72,13,7,11,1
19833,1,2,0,8,28,11,4,13,1
45,1,2,0,75,25,16,13,13,1
87971,1,2,0,84,57,2,2,11,1
35567,1,2,1,87,26,14,5,10,1
87674,1,2,0,276,59,18,6,10,1
32756,1,2,1,209,21,11,11,12,1
7435,1,2,0,107,55,14,14,11,1
183432,1,2,0,243,61,13,4,11,1
137755,1,2,1,184,60,3,3,11,1
198511,1,2,0,77,74,1,1,12,1
156127,1,2,0,165,75,3,3,12,1
72330,0,2,0,284,59,12,11,11,1
6547,1,2,0,61,79,11,11,13,1
52183,1,2,1,280,35,9,9,14,1
159471,1,2,1,308,49,3,3,12,1
61757,1,2,0,83,21,0,0,12,1
110422,1,2,0,168,59,1,1,11,1
210389,1,2,0,126,42,17,7,14,1
225778,1,2,0,63,59,17,9,11,1
178087,1,2,0,79,37,15,10,14,1
90668,1,2,0,33,44,11,6,14,1
245424,1,2,0,255,70,18,5,13,1
208121,1,2,1,262,61,16,11,14,1
140723,1,2,0,119,53,17,5,10,1
199661,1,2,0,243,61,13,4,11,1
127080,1,2,0,202,59,4,4,14,1
144593,1,2,0,103,28,5,5,10,1
247268,1,2,0,286,21,4,4,11,1
92831,1,2,0,140,63,4,4,12,1
228992,1,2,0,147,79,12,10,10,1
178182,1,2,0,284,39,6,6,14,1
61513,1,2,1,66,36,17,9,12,1
33480,1,2,0,32,27,10,10,11,1
243453,1,2,0,119,51,11,5,12,1
232784,1,2,0,140,36,13,7,11,1
214239,1,2,1,280,35,9,9,14,1
148822,1,2,0,198,28,14,13,12,1
219536,1,2,1,174,42,7,7,11,1
88825,1,2,1,187,72,17,14,11,1
33830,1,2,0,309,26,2,2,10,1
247785,1,2,0,271,35,15,8,10,1
49920,1,2,0,53,60,16,5,11,1
228630,1,2,0,131,77,12,11,12,1
216113,1,2,1,18,77,7,5,12,1
82298,1,2,1,43,52,15,12,11,1
48834,1,2,0,195,57,20,7,14,1
38279,1,2,0,96,78,19,3,10,1
217381,1,2,1,206,36,5,5,11,1
82086,1,2,0,313,76,10,10,11,1
235712,1,1,0,204,69,8,5,13,1
237919,0,2,0,264,42,13,9,12,1
234063,1,2,0,279,74,3,3,13,1
71787,1,2,0,251,42,9,5,10,1
58481,1,0,1,181,22,19,9,12,1
171234,1,2,0,136,22,13,13,13,1
155681,1,2,0,39,41,2,2,12,1
243735,1,2,0,313,50,2,2,11,1
225645,1,2,0,177,31,8,5,13,1
9095,0,2,0,166,28,8,8,13,1
109334,1,2,0,201,31,20,5,14,1
16103,1,2,0,158,67,1,1,10,1
223776,1,2,1,212,30,0,0,13,1
66110,1,2,0,125,23,20,4,14,1
5044,1,1,0,161,26,10,10,12,1
135744,1,2,0,146,55,13,13,14,1
123046,1,2,0,103,28,5,5,10,1
180641,1,2,0,238,22,3,3,13,1
207446,1,2,0,160,74,5,5,10,1
24288,1,2,0,160,59,6,6,10,1
240401,1,2,1,315,37,16,11,14,1
177657,1,2,0,268,46,9,5,10,1
73505,1,2,0,271,35,2,2,14,1
50950,1,2,0,291,79,12,9,14,1
112878,1,1,0,141,34,10,10,10,1
22598,1,2,0,305,77,19,13,10,1
89645,1,2,0,69,30,19,9,11,1
38274,1,2,0,102,74,3,3,13,1
60776,1,2,1,69,23,20,11,12,1
228889,1,2,0,195,75,4,4,14,1
246463,1,2,1,28,76,4,4,10,1
206046,0,2,0,97,69,2,2,13,1
75091,1,2,0,148,70,11,3,13,1
40206,1,2,0,238,22,3,3,13,1
50919,1,2,0,198,21,7,4,13,1
27339,1,2,1,209,21,11,11,12,1
86308,1,2,0,213,73,19,4,14,1
5145,1,2,0,103,57,0,0,10,1
83575,1,2,0,263,76,12,7,13,1
227444,0,2,1,28,31,6,4,10,1
108436,1,2,0,85,47,1,1,10,1
241558,1,0,0,32,33,12,12,10,1
8153,1,2,0,74,70,14,10,11,1
70735,1,2,0,184,78,5,5,14,1
79728,1,2,0,80,55,6,6,11,1
216881,1,2,0,226,39,3,3,12,1
111514,1,2,0,191,60,1,1,13,1
59866,1,2,0,66,68,20,7,10,1
137970,1,2,0,251,28,4,4,11,1
145413,0,2,1,39,75,16,6,12,1
142825,1,2,1,53,25,7,7,10,1
110529,1,2,1,27,26,13,7,11,1
151104,1,2,0,112,39,9,6,10,1
16028,1,2,0,309,50,1,1,14,1
71219,1,2,1,121,27,10,10,10,1
123649,1,2,0,46,38,12,12,12,1
44889,1,2,0,148,31,11,11,13,1
218289,1,2,0,302,45,14,13,10,1
138766,1,2,1,3,76,0,0,10,1
35035,1,2,0,237,51,16,13,13,1
16618,1,2,0,296,61,5,5,10,1
46418,1,2,1,269,45,1,1,11,1
207173,1,2,1,104,58,19,4,11,1
233747,1,0,0,20,58,19,14,12,1
66833,1,2,0,27,66,19,8,12,1
239878,1,2,0,231,25,16,9,13,1
90703,1,2,0,48,50,15,12,10,1
248728,1,2,0,214,28,8,5,12,1
182049,1,2,0,28,21,11,6,10,1
85329,1,2,0,186,21,0,0,12,1
52151,1,2,0,57,45,9,9,10,1
222223,1,0,1,99,70,11,8,13,1
17678,1,2,0,164,38,3,3,12,1
36625,1,2,0,28,63,15,7,12,1
140529,1,2,0,281,22,7,7,12,1
175664,1,2,1,157,33,8,8,12,1
82837,1,2,0,109,66,0,0,14,1
109541,1,2,0,56,63,3,3,10,1
135973,0,2,0,141,55,6,6,10,1
150631,1,1,0,141,34,10,10,10,1
68141,1,2,0,2,32,15,3,12,1
63193,1,2,1,32,51,19,6,11,1
92258,1,2,0,33,48,2,2,10,1
221736,1,2,1,223,26,8,8,13,1
251096,1,2,1,40,24,6,6,14,1
118188,1,2,0,121,22,15,3,11,1
16018,1,2,0,270,49,2,2,11,1
225917,1,2,1,295,50,0,0,12,1
144295,1,2,0,231,57,18,10,13,1
141503,1,2,0,32,27,10,10,11,1
38545,0,2,0,97,69,2,2,13,1
251274,1,2,0,93,61,4,4,12,1
82661,1,2,0,33,22,1,1,10,1
111121,1,0,0,10,44,12,11,10,1
71689,1,2,0,306,47,20,12,13,1
143150,1,2,0,305,24,16,9,10,1
13444,1,2,0,256,27,15,7,13,1
214388,1,2,1,113,61,10,5,11,1
160875,1,2,0,25,31,2,2,13,1
210845,1,2,1,290,41,1,1,12,1
148682,1,2,0,207,64,15,11,12,1
66525,1,2,0,294,66,0,0,13,1
91459,1,2,1,156,34,9,9,13,1
145661,1,2,1,70,48,19,3,14,1
121962,1,2,0,100,22,16,9,11,1
249807,1,2,1,57,47,16,13,12,1
163452,1,2,1,236,70,1,1,10,1
19279,1,1,0,3,72,3,3,12,1
234481,1,2,0,75,30,16,6,11,1
64506,1,2,0,92,22,2,2,14,1
81178,1,2,0,297,66,11,11,12,1
250524,1,2,0,312,23,1,1,13,1
180948,1,2,0,305,24,16,9,10,1
22651,1,2,0,67,76,13,13,14,1
3555,1,2,0,234,33,9,9,13,1
91607,1,2,0,270,49,2,2,11,1
8032,1,2,1,107,35,14,14,10,1
8275,1,2,0,79,24,1,1,10,1
146488,1,2,0,267,40,13,3,14,1
128414,1,2,0,307,25,4,4,12,1
148710,1,2,0,79,77,9,3,14,1
169943,1,2,0,296,27,16,10,11,1
220392,1,2,0,234,45,2,2,10,1
245997,1,1,0,164,48,15,8,11,1
235442,1,2,1,141,27,12,12,10,1
182531,1,2,1,114,57,9,9,13,1
242193,1,2,0,32,60,19,4,11,1
69981,1,2,0,126,42,17,7,14,1
73436,1,2,0,69,30,19,9,11,1
42602,1,1,0,241,39,8,8,10,1
136024,1,2,1,302,63,5,5,11,1
35032,1,2,1,68,51,10,10,11,1
145045,1,2,1,217,61,13,6,13,1
145713,1,2,1,267,36,15,7,13,1
31605,1,2,1,193,26,6,6,12,1
10428,1,2,1,237,25,0,0,10,1
71669,1,2,1,114,69,7,7,13,1
37273,1,2,0,277,59,18,12,12,1
118448,1,1,0,161,26,10,10,12,1
80288,1,2,0,3,55,5,5,10,1
75525,1,2,0,68,62,5,5,10,1
244322,0,2,1,302,75,6,6,14,1
145925,0,2,0,227,25,7,7,13,1
242772,1,2,0,167,78,13,8,12,1
36261,1,2,1,19,73,15,8,11,1
2732,1,2,0,74,79,17,13,12,1
239434,1,2,0,11,74,10,10,12,1
53902,1,2,0,298,73,5,5,11,1
90431,1,2,0,131,67,5,3,10,1
144204,1,2,0,54,33,7,7,11,1
139937,1,2,0,69,71,13,3,12,1
215080,1,2,1,121,57,12,10,12,1
146474,1,2,0,127,30,16,3,11,1
231391,1,2,0,157,63,20,14,12,1
20498,1,2,0,55,64,10,10,10,1
143385,1,2,0,257,44,8,8,11,1
229024,1,2,0,247,68,5,5,10,1
34082,1,2,0,217,29,9,9,10,1
199105,1,2,0,232,34,16,8,11,1
208084,0,2,1,151,49,16,10,11,1
214407,1,2,1,3,76,0,0,10,1
5704,1,2,0,272,43,20,14,11,1
176688,1,2,0,136,22,13,13,13,1
249358,1,2,0,299,45,17,5,14,1
223992,1,2,1,23,34,13,7,14,1
140457,1,2,0,203,46,11,11,10,1
222891,1,1,0,128,21,3,3,12,1
243520,1,0,0,10,79,6,6,10,1
212488,0,2,0,313,33,6,6,12,1
69860,1,2,1,302,21,5,4,13,1
37599,1,2,0,111,47,13,7,10,1
174912,1,2,1,200,66,1,1,11,1
230055,1,2,0,43,76,17,13,11,1
141392,1,2,1,121,27,10,10,10,1
126507,1,2,0,148,72,4,4,12,1
85950,0,2,1,115,64,20,5,12,1
35243,1,2,1,160,76,11,6,14,1
121604,1,2,0,203,63,5,5,13,1
228982,1,2,0,174,52,11,11,12,1
51867,0,2,1,72,38,6,4,10,1
20441,1,2,0,33,44,11,6,14,1
250615,0,2,1,73,42,9,7,10,1
224409,1,2,0,226,37,7,7,13,1
211783,0,2,0,18,30,1,1,11,1
157233,1,2,0,266,76,2,2,12,1
